sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中山,臺北市,108,細懸浮微粒,對敏感族群不健康,0.5,0.73,3,20,50,34,31,36.5,4.8,0.9,187,2025/04/22 00:00:00,0.6,33.2,51,1,121.526528,25.062361,12
萬華,臺北市,105,細懸浮微粒,對敏感族群不健康,0.1,0.67,6,19,52,35,30,34.2,4.1,0.7,158,2025/04/22 00:00:00,0.6,32.2,50,0,121.507972,25.046503,13
古亭,臺北市,98,細懸浮微粒,普通,0,0.63,2,20,51,27,27,30,2.5,1.1,221,2025/04/22 00:00:00,0.5,29.7,51,0,121.529556,25.020608,14
松山,臺北市,104,細懸浮微粒,對敏感族群不健康,2.4,0.47,12,20,41,31,19,21.3,1.4,0.3,234,2025/04/22 00:00:00,0.5,31.8,43,1,121.578611,25.05,15
大同,臺北市,122,細懸浮微粒,對敏感族群不健康,1.1,1.14,0,8,53,40,35,60.9,25,-,-,2025/04/22 00:00:00,1.9,39.1,54,1,121.51342074,25.06331455,16
桃園,桃園市,105,細懸浮微粒,對敏感族群不健康,1.2,0.67,4,25,59,42,25,29.7,4.3,0.5,202,2025/04/22 00:00:00,0.4,32.1,49,1,121.30500531,24.9947107,17
大園,桃園市,61,細懸浮微粒,普通,0.9,0.31,9,27,29,19,13,15.2,1.6,1.1,243,2025/04/22 00:00:00,0.2,16.3,27,0,121.20251473,25.06100357,18
觀音,桃園市,61,細懸浮微粒,普通,0.3,0.23,9,26,26,18,11,12.2,0.7,1.3,190,2025/04/22 00:00:00,0.1,16.1,24,0,121.08283092,25.03556747,19
平鎮,桃園市,69,細懸浮微粒,普通,0.5,0.49,9,18,33,18,17,18.9,1.7,0.6,181,2025/04/22 00:00:00,0.3,19.2,30,0,121.203986,24.952786,20
龍潭,桃園市,81,細懸浮微粒,普通,0.4,0.25,11,23,26,21,11,12.1,0.6,0.7,152,2025/04/22 00:00:00,0.2,23.5,34,0,121.21645772,24.86400048,21
湖口,新竹縣,62,細懸浮微粒,普通,0.8,0.35,2,21,23,16,18,19.8,1.6,0.7,167,2025/04/22 00:00:00,0.2,16.7,22,0,121.03886894,24.90009696,22
竹東,新竹縣,77,細懸浮微粒,普通,0.8,0.24,4,16,30,17,7,8.7,1.1,1.9,102,2025/04/22 00:00:00,0.3,21.9,34,0,121.08895493,24.74091408,23
新竹,新竹市,63,細懸浮微粒,普通,1.1,0.31,6,19,24,19,16,17,1,0.3,56,2025/04/22 00:00:00,0.2,16.8,25,1,120.97236752,24.8056356,24
頭份,苗栗縣,66,細懸浮微粒,普通,1,0.28,4,21,33,20,11,13.7,1.8,1.4,117,2025/04/22 00:00:00,0.2,17.9,29,1,120.89869286,24.69690679,25
苗栗,苗栗縣,65,細懸浮微粒,普通,1.4,0.2,15,20,26,18,8,9.5,0.9,3.7,198,2025/04/22 00:00:00,0.2,17.5,24,1,120.82011468,24.56499183,26
三義,苗栗縣,63,細懸浮微粒,普通,1.2,0.19,16,18,24,17,3,5.2,1.3,2.7,195,2025/04/22 00:00:00,0.2,16.8,29,1,120.75956754,24.38248443,27
豐原,臺中市,73,細懸浮微粒,普通,1.1,0.22,16,22,26,23,6,7.2,1.2,2.9,177,2025/04/22 00:00:00,0.2,20.7,29,1,120.74252414,24.25699731,28
沙鹿,臺中市,60,細懸浮微粒,普通,1.2,0.19,15,20,25,14,6,7.3,0.8,2.5,175,2025/04/22 00:00:00,0.2,15.7,28,1,120.568794,24.225628,29
大里,臺中市,70,細懸浮微粒,普通,0.6,0.22,9,16,27,21,10,9.9,0,1,136,2025/04/22 00:00:00,0.2,19.6,29,0,120.67844444,24.09961111,30
忠明,臺中市,58,細懸浮微粒,普通,1.1,0.21,12,17,22,12,6,7.3,1.2,1.7,184,2025/04/22 00:00:00,0.2,15.1,26,1,120.641092,24.151958,31
西屯,臺中市,61,細懸浮微粒,普通,1.3,0.18,10,19,29,11,9,10.6,0.7,1.5,180,2025/04/22 00:00:00,0.1,16.3,30,1,120.616917,24.162197,32
彰化,彰化縣,61,細懸浮微粒,普通,0.9,0.18,10,17,22,14,7,7.7,0.7,1.7,201,2025/04/22 00:00:00,0.1,16.2,22,1,120.541519,24.066,33
線西,彰化縣,55,細懸浮微粒,普通,0.5,0.14,19,24,19,14,3,4.3,0.9,2.9,203,2025/04/22 00:00:00,0.1,13.8,21,1,120.469061,24.131672,34
二林,彰化縣,53,細懸浮微粒,普通,2.1,0.17,14,19,23,19,3,4.1,0.1,1.4,164,2025/04/22 00:00:00,0.1,13.2,25,2,120.409653,23.925175,35
南投,南投縣,62,細懸浮微粒,普通,1.2,0.17,6,21,25,13,8,9.1,0.6,1.5,177,2025/04/22 00:00:00,0.2,16.7,28,1,120.685306,23.913,36
斗六,雲林縣,55,細懸浮微粒,普通,1.4,0.18,11,20,28,13,6,7.4,1.1,1.1,142,2025/04/22 00:00:00,0.2,13.9,27,1,120.544994,23.711853,37
崙背,雲林縣,58,細懸浮微粒,普通,1,0.15,10,16,21,17,4,5,0.7,0.6,136,2025/04/22 00:00:00,0.1,14.9,23,1,120.348742,23.757547,38
新港,嘉義縣,53,細懸浮微粒,普通,0.7,0.16,14,19,23,16,5,6.8,1.1,0.7,146,2025/04/22 00:00:00,0.1,13.1,24,1,120.345531,23.554839,39
朴子,嘉義縣,58,細懸浮微粒,普通,0.2,0.09,12,20,22,16,4,4.9,0.1,1.3,136,2025/04/22 00:00:00,0.1,15.1,21,0,120.2478,23.46538,40
臺西,雲林縣,47,,良好,0.1,0.12,16,22,22,11,3,4.1,0.2,1.7,176,2025/04/22 00:00:00,0.1,11.6,22,0,120.19933333,23.702175,41
嘉義,嘉義市,45,,良好,1.5,0.17,10,19,26,12,6,7,0.3,0.8,124,2025/04/22 00:00:00,0.1,11.2,23,1,120.44125148,23.46477865,42
