sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
萬里,新北市,101,臭氧八小時,對敏感族群不健康,,0.28,69,71,35,17,,,,2.2,34,2025-04-21 15:00,,0.3,19.9,40,0,121.689881,25.179667,3
汐止,新北市,72,細懸浮微粒,普通,1,0.31,58,49,38,24,11,12.3,0.8,1.1,27,2025-04-21 15:00,,0.3,20.1,29,0,121.64081,25.06624,2
基隆,基隆市,61,細懸浮微粒,普通,2.5,0.29,54,53,21,13,5,6.8,1.3,0.7,102,2025-04-21 15:00,,0.3,16.2,23,1,121.760056,25.129167,1
屏東(枋山),屏東縣,54,細懸浮微粒,普通,0.1,0.11,40,34,27,10,0,1.4,0.5,2.6,281,2025-04-21 14:00,,0.1,13.5,28,0,120.651472,22.260899,313
臺南（南化）,臺南市,59,細懸浮微粒,普通,0.2,0.21,65,32,33,22,2,2.8,0.3,2,39,2025-04-21 14:00,,0.1,15.5,23,0,120.44583156,23.04562013,312
新北（樹林）,新北市,56,細懸浮微粒,普通,0.9,0.3,53,26,36,18,13,14.7,1.4,0.4,25,2025-04-21 14:00,,0.3,14.3,28,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,47,,良好,0.3,0.31,42,22,33,16,8,14,5.2,0.9,301,2025-04-21 14:00,,0.2,11.7,22,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,懸浮微粒,普通,0.5,0.14,31,25,45,13,1,1.8,0.6,3.2,318,2025-04-21 14:00,,0.1,15.6,44,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,-1,,,,,,,,,,,,,,2025-04-21 14:00,,,,,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,,,,,,,,3,280,2025-04-21 14:00,,,,,,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,38,,良好,0.6,0.2,49,35,17,7,2,2.1,0,1.1,118,2025-04-21 14:00,,0.2,9.3,20,0,121.82463916,24.85366672,201
員林,彰化縣,84,細懸浮微粒,普通,1.3,0.19,48,28,36,19,2,4.7,1.8,2.4,266,2025-04-21 14:00,,0.2,24.5,43,1,120.5631893,23.9615945,139
大城,彰化縣,58,細懸浮微粒,普通,2.3,0.15,32,25,26,12,5,9.7,3.8,2.1,258,2025-04-21 14:00,,0.1,15,31,0,120.26964167,23.85493056,85
富貴角,新北市,118,臭氧八小時,對敏感族群不健康,0.2,0.27,86,76,47,27,1,1.4,0,1.6,52,2025-04-21 14:00,,0.2,29.5,51,0,121.53656894,25.29681695,84
麥寮,雲林縣,55,細懸浮微粒,普通,,,33,29,22,11,,,,3.1,252,2025-04-21 14:00,,0.1,14,24,0,120.251825,23.753506,83
關山,臺東縣,44,,良好,1,0.12,33,23,21,10,2,3.7,1.2,3.7,215,2025-04-21 14:00,,0.1,10.9,18,1,121.161933,23.045083,80
馬公,澎湖縣,38,,良好,0.3,0.13,21,23,10,10,1,3.2,1.6,2.9,249,2025-04-21 14:00,,0.1,9.5,16,0,119.566158,23.569031,78
金門,金門縣,66,細懸浮微粒,普通,0.7,0.17,33,29,15,14,11,14.8,3,2.3,206,2025-04-21 14:00,,0.2,18,20,0,118.312256,24.432133,77
馬祖,連江縣,133,細懸浮微粒,對敏感族群不健康,0.9,0.33,85,78,70,36,5,5.9,0.8,1.4,58,2025-04-21 14:00,,0.3,43.3,79,0,119.952724,26.153736,75
埔里,南投縣,67,細懸浮微粒,普通,0.8,0.22,40,22,39,20,2,3.9,1.1,3.3,273,2025-04-21 14:00,,0.2,18.4,26,0,120.967903,23.968842,72
復興,高雄市,57,細懸浮微粒,普通,0.1,0.12,34,17,24,10,5,7,1.5,1.3,260,2025-04-21 14:00,,0.2,14.6,28,0,120.312017,22.608711,71
永和,新北市,68,細懸浮微粒,普通,0.8,0.72,47,25,41,25,22,26.8,4.6,1.8,330,2025-04-21 14:00,,0.8,18.7,26,0,121.516306,25.017,70
竹山,南投縣,81,細懸浮微粒,普通,1.1,0.2,,26,,,3,4.2,0.2,2.3,270,2025-04-21 14:00,,0.1,23.3,36,0,120.677306,23.756389,69
中壢,桃園市,70,細懸浮微粒,普通,,0.61,33,11,40,25,26,50,23.3,1,0,2025-04-21 14:00,,1.1,19.6,32,0,121.221667,24.953278,68
三重,新北市,84,細懸浮微粒,普通,1.5,0.71,36,18,46,28,44,72.7,28.5,-,-,2025-04-21 14:00,,1,24.6,34,1,121.493806,25.072611,67
冬山,宜蘭縣,45,,良好,0.7,0.37,41,28,26,12,9,11.3,2.3,1.6,51,2025-04-21 14:00,,0.4,10.6,27,0,121.792928,24.632203,66
宜蘭,宜蘭縣,44,,良好,0.2,0.25,50,43,16,10,3,4.2,0.9,2.1,98,2025-04-21 14:00,,0.2,10.9,15,0,121.746394,24.747917,65
陽明,臺北市,58,細懸浮微粒,普通,0.9,0.29,66,38,45,29,6,7,0.6,2.2,20,2025-04-21 14:00,,0.2,14.9,24,0,121.529583,25.182722,64
花蓮,花蓮縣,37,,良好,0.2,0.21,49,37,9,7,1,2.5,0.9,2.4,131,2025-04-21 14:00,,0.2,9.2,15,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.6,0.15,35,30,21,7,1,2,0.6,1.8,93,2025-04-21 14:00,,0.1,8,21,0,121.15045,22.755358,62
恆春,屏東縣,57,細懸浮微粒,普通,1.7,0.19,53,39,33,22,1,2.3,0.5,3.3,226,2025-04-21 14:00,,0.1,14.6,27,1,120.788928,21.958069,61
潮州,屏東縣,90,細懸浮微粒,普通,2.8,0.32,52,39,43,20,9,10.4,1.1,5.1,259,2025-04-21 14:00,,0.2,26.6,46,0,120.561175,22.523108,60
屏東,屏東縣,83,細懸浮微粒,普通,1.2,0.23,73,39,54,26,5,6.1,0.7,3.7,263,2025-04-21 14:00,,0.2,24.3,46,0,120.488033,22.673081,59
小港,高雄市,62,細懸浮微粒,普通,0.6,0.14,31,20,24,12,7,10.4,3.2,4.2,265,2025-04-21 14:00,,0.2,16.5,29,0,120.337736,22.565833,58
前鎮,高雄市,56,細懸浮微粒,普通,2,0.15,35,22,23,16,7,10.1,3.1,2.4,16,2025-04-21 14:00,,0.2,14.5,28,1,120.30833356,22.6044507,57
前金,高雄市,62,細懸浮微粒,普通,0.3,0.15,39,26,21,13,2,3.7,0.8,3.1,240,2025-04-21 14:00,,0.2,16.5,34,0,120.28676111,22.63390278,56
左營,高雄市,67,細懸浮微粒,普通,0.7,0.13,33,18,19,18,1,2.3,0.8,3.9,270,2025-04-21 14:00,,0.1,18.2,27,0,120.292917,22.674861,54
楠梓,高雄市,73,細懸浮微粒,普通,0.7,0.17,41,24,40,19,5,6.4,0.9,2.4,280,2025-04-21 14:00,,0.2,20.7,48,0,120.328289,22.733667,53
林園,高雄市,68,細懸浮微粒,普通,,0.14,,19,22,,1,2.7,0.9,3.7,284,2025-04-21 14:00,,0.1,18.7,33,1,120.41175,22.4795,52
大寮,高雄市,82,細懸浮微粒,普通,1.1,0.2,41,34,43,16,9,11.6,2.1,3.2,286,2025-04-21 14:00,,0.2,23.8,49,0,120.425311,22.56413611,51
鳳山,高雄市,83,細懸浮微粒,普通,1.1,0.32,43,29,34,19,9,10.8,1.3,1.6,241,2025-04-21 14:00,,0.4,24.3,40,1,120.357422,22.628126,50
仁武,高雄市,65,細懸浮微粒,普通,2.1,0.17,,21,37,,,,,4.1,266,2025-04-21 14:00,,0.3,17.7,34,0,120.332631,22.689056,49
橋頭,高雄市,73,細懸浮微粒,普通,1.8,0.13,42,26,23,13,3,3.8,0.4,3.3,270,2025-04-21 14:00,,0.2,20.5,31,1,120.305689,22.757506,48
美濃,高雄市,66,細懸浮微粒,普通,0.9,0.23,60,33,30,21,2,2.9,0.6,2,263,2025-04-21 14:00,,0.2,18,26,0,120.530542,22.883583,47
臺南,臺南市,61,細懸浮微粒,普通,0.3,0.17,35,26,25,13,3,5,1.2,2.9,216,2025-04-21 14:00,,0.2,16,29,0,120.21947897,22.98928311,46
安南,臺南市,59,細懸浮微粒,普通,0.7,0.17,,22,34,,2,3.6,1.1,3.2,236,2025-04-21 14:00,,0.2,15.6,29,0,120.2175,23.048197,45
善化,臺南市,81,細懸浮微粒,普通,0.3,0.18,37,23,42,18,6,8.7,2.3,3.7,277,2025-04-21 14:00,,0.1,23.3,36,0,120.29740529,23.11337642,44
新營,臺南市,70,細懸浮微粒,普通,0.3,0.18,38,26,31,19,4,5,0.5,2,295,2025-04-21 14:00,,0.2,19.6,30,0,120.31725,23.305633,43
嘉義,嘉義市,69,細懸浮微粒,普通,1.4,0.18,48,29,30,17,3,4.5,0.6,3.4,266,2025-04-21 14:00,,0.2,19.2,34,1,120.44125148,23.46477865,42
臺西,雲林縣,54,細懸浮微粒,普通,,,31,30,,,,,,3.3,230,2025-04-21 14:00,,0.1,13.6,22,0,120.19933333,23.702175,41
朴子,嘉義縣,68,細懸浮微粒,普通,0.6,0.1,34,26,24,18,2,2.9,0.4,2.4,263,2025-04-21 14:00,,0.1,18.6,28,1,120.2478,23.46538,40
新港,嘉義縣,65,細懸浮微粒,普通,1.2,0.15,41,31,26,14,2,3.5,0.9,3.2,269,2025-04-21 14:00,,0.1,17.5,29,1,120.345531,23.554839,39
崙背,雲林縣,71,細懸浮微粒,普通,,,36,25,,16,,,,,,2025-04-21 14:00,,0.1,19.8,31,0,120.348742,23.757547,38
斗六,雲林縣,85,細懸浮微粒,普通,1.3,0.23,54,31,35,18,3,4.8,1.2,2.7,271,2025-04-21 14:00,,0.2,24.8,38,1,120.544994,23.711853,37
南投,南投縣,78,細懸浮微粒,普通,1.2,0.21,54,27,32,22,2,3.9,0.9,2.5,240,2025-04-21 14:00,,0.2,22.5,34,0,120.685306,23.913,36
二林,彰化縣,70,細懸浮微粒,普通,3.5,0.16,39,24,33,16,3,4.3,0.8,3.5,273,2025-04-21 14:00,,0.2,19.5,37,2,120.409653,23.925175,35
線西,彰化縣,81,細懸浮微粒,普通,1.4,0.14,45,28,27,17,3,4.4,1.3,4,271,2025-04-21 14:00,,0.2,23.6,36,1,120.469061,24.131672,34
彰化,彰化縣,81,細懸浮微粒,普通,1.1,0.13,43,25,27,23,3,4.6,0.9,1.8,277,2025-04-21 14:00,,0.2,23.4,30,1,120.541519,24.066,33
西屯,臺中市,86,細懸浮微粒,普通,1.6,0.17,49,25,48,25,4,5.4,0.7,2.8,222,2025-04-21 14:00,,0.2,25.2,44,1,120.616917,24.162197,32
忠明,臺中市,81,細懸浮微粒,普通,1.3,0.22,43,20,37,21,6,9.3,2.6,2.5,263,2025-04-21 14:00,,0.3,23.4,48,1,120.641092,24.151958,31
大里,臺中市,89,細懸浮微粒,普通,0.7,0.22,48,25,42,23,,,,3.3,241,2025-04-21 14:00,,0.3,26.4,36,0,120.67844444,24.09961111,30
沙鹿,臺中市,83,細懸浮微粒,普通,1,0.18,45,26,37,24,4,5.3,1,3.5,247,2025-04-21 14:00,,0.2,24.2,41,0,120.568794,24.225628,29
豐原,臺中市,86,細懸浮微粒,普通,0.9,0.26,61,31,41,28,4,5.7,1.1,3.6,209,2025-04-21 14:00,,0.3,25.2,36,0,120.74252414,24.25699731,28
三義,苗栗縣,83,細懸浮微粒,普通,1.8,0.25,62,30,54,31,4,5.9,1.7,2.7,261,2025-04-21 14:00,,0.2,24.2,36,1,120.75956754,24.38248443,27
苗栗,苗栗縣,79,細懸浮微粒,普通,1.9,0.21,54,24,38,31,7,9.1,1.6,2.5,256,2025-04-21 14:00,,0.3,22.6,30,1,120.82011468,24.56499183,26
頭份,苗栗縣,69,細懸浮微粒,普通,1.6,0.22,55,22,45,29,2,4.9,2,3.9,288,2025-04-21 14:00,,0.3,19.1,31,1,120.89869286,24.69690679,25
新竹,新竹市,66,細懸浮微粒,普通,1.3,0.23,48,20,23,21,5,6.1,1,2.9,275,2025-04-21 14:00,,0.3,17.8,26,1,120.97236752,24.8056356,24
竹東,新竹縣,60,細懸浮微粒,普通,0.9,0.29,60,21,41,28,7,8.5,0.5,1.7,238,2025-04-21 14:00,,0.2,15.7,29,0,121.08895493,24.74091408,23
湖口,新竹縣,67,細懸浮微粒,普通,1.2,0.19,48,21,27,21,3,4.1,0.9,3.3,294,2025-04-21 14:00,,0.2,18.2,28,0,121.03886894,24.90009696,22
龍潭,桃園市,63,細懸浮微粒,普通,1.3,0.27,55,21,40,28,7,7.9,0.6,3.1,294,2025-04-21 14:00,,0.2,16.9,27,0,121.21645772,24.86400048,21
平鎮,桃園市,64,細懸浮微粒,普通,0.7,0.27,51,22,41,26,8,10.3,1.7,1.9,293,2025-04-21 14:00,,0.3,17.4,31,0,121.203986,24.952786,20
觀音,桃園市,66,細懸浮微粒,普通,0.5,0.19,48,21,17,11,5,6.2,1.1,2.1,305,2025-04-21 14:00,,0.2,18,22,0,121.08283092,25.03556747,19
大園,桃園市,66,細懸浮微粒,普通,,,44,23,35,,,,,3.6,314,2025-04-21 14:00,,0.2,17.8,28,0,121.20251473,25.06100357,18
桃園,桃園市,67,細懸浮微粒,普通,0.6,0.27,56,24,38,29,9,10.3,1.2,2.7,281,2025-04-21 14:00,,0.3,18.5,26,1,121.30500531,24.9947107,17
大同,臺北市,94,細懸浮微粒,普通,1.6,0.61,57,22,46,35,21,25,3.4,-,-,2025-04-21 14:00,,1.3,28.2,39,1,121.51342074,25.06331455,16
松山,臺北市,76,細懸浮微粒,普通,0.6,0.32,62,40,39,24,14,17.1,2.9,1.8,314,2025-04-21 14:00,,0.4,21.5,29,0,121.578611,25.05,15
古亭,臺北市,70,細懸浮微粒,普通,0.7,0.33,62,35,37,29,10,11.3,0.8,2.5,309,2025-04-21 14:00,,0.3,19.3,26,0,121.529556,25.020608,14
萬華,臺北市,72,細懸浮微粒,普通,,,64,32,45,29,,,,0.4,75,2025-04-21 14:00,,0.5,20.1,32,0,121.507972,25.046503,13
中山,臺北市,78,細懸浮微粒,普通,1.1,0.44,59,36,45,28,17,20.1,2.7,2.6,352,2025-04-21 14:00,,0.5,22.5,35,0,121.526528,25.062361,12
士林,臺北市,73,細懸浮微粒,普通,1.3,0.28,70,36,45,28,9,10.7,1.1,3,329,2025-04-21 14:00,,0.3,20.5,32,0,121.51666356,25.10334003,11
淡水,新北市,74,細懸浮微粒,普通,1.3,0.26,72,33,42,25,7,8.4,0.8,1.9,310,2025-04-21 14:00,,0.4,20.8,36,0,121.449239,25.1645,10
林口,新北市,73,細懸浮微粒,普通,1.8,0.27,67,29,40,30,8,9.3,1.2,3,339,2025-04-21 14:00,,0.3,20.5,29,0,121.36548982,25.07798949,9
菜寮,新北市,84,細懸浮微粒,普通,1.4,0.36,67,36,46,34,13,16,2.1,3.6,298,2025-04-21 14:00,,0.5,24.4,33,0,121.481028,25.06895,8
新莊,新北市,64,細懸浮微粒,普通,1.4,0.28,64,31,38,24,8,9.3,0.8,2,81,2025-04-21 14:00,,0.3,17.2,25,0,121.4325,25.037972,7
板橋,新北市,56,細懸浮微粒,普通,1.4,0.32,64,28,37,21,10,12.1,1.3,3.2,357,2025-04-21 14:00,,0.4,14.5,24,0,121.458667,25.012972,6
土城,新北市,66,細懸浮微粒,普通,0.9,0.31,56,25,39,24,9,10.8,1.5,2.8,319,2025-04-21 14:00,,0.3,18,29,0,121.451861,24.982528,5
新店,新北市,63,細懸浮微粒,普通,0.6,0.28,63,32,32,22,7,7.8,0.5,3.4,325,2025-04-21 14:00,,0.3,16.8,23,0,121.537778,24.977222,4
萬里,新北市,84,臭氧八小時,普通,0,0.28,68,65,38,16,2,2.3,0.1,3.9,32,2025-04-21 14:00,,0.3,20.7,42,0,121.689881,25.179667,3
汐止,新北市,68,細懸浮微粒,普通,0.8,0.3,70,43,29,24,11,12.2,0.6,2.1,49,2025-04-21 14:00,,0.3,18.7,26,0,121.64081,25.06624,2
基隆,基隆市,63,細懸浮微粒,普通,2.8,0.3,50,47,23,15,11,13.5,2.2,1.1,66,2025-04-21 14:00,,0.3,16.9,23,1,121.760056,25.129167,1
屏東(枋山),屏東縣,59,細懸浮微粒,普通,0.2,0.12,42,31,30,13,1,1.7,0.5,2.7,278,2025-04-21 13:00,,0.1,15.6,30,0,120.651472,22.260899,313
臺南（南化）,臺南市,56,細懸浮微粒,普通,0.2,0.2,54,24,27,18,1,2.1,0.3,2.6,28,2025-04-21 13:00,,0.1,14.3,21,0,120.44583156,23.04562013,312
新北（樹林）,新北市,52,細懸浮微粒,普通,0.3,0.26,51,20,35,17,7,8.4,1.3,0.2,358,2025-04-21 13:00,,0.3,12.7,25,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,44,,良好,0.2,0.26,35,17,20,14,3,6,2,0.4,325,2025-04-21 13:00,,0.2,10.9,20,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,懸浮微粒,普通,0.6,0.14,35,23,46,13,1,2,0.6,2.7,319,2025-04-21 13:00,,0.1,16.5,44,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,-1,,,,,,,,,,,,,,2025-04-21 13:00,,0.2,,,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,,,,,,,,,,2025-04-21 13:00,,,,,,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,42,,良好,0.6,0.22,51,30,22,10,4,4.7,0.5,0.7,133,2025-04-21 13:00,,0.2,10.4,20,0,121.82463916,24.85366672,201
員林,彰化縣,87,細懸浮微粒,普通,1.1,0.21,49,22,64,24,3,5,1.8,2.8,236,2025-04-21 13:00,,0.2,25.5,43,1,120.5631893,23.9615945,139
大城,彰化縣,60,細懸浮微粒,普通,1.6,0.14,38,22,35,13,2,5.3,2.4,2,268,2025-04-21 13:00,,0.1,15.9,31,0,120.26964167,23.85493056,85
富貴角,新北市,108,臭氧八小時,對敏感族群不健康,0.2,0.29,86,73,51,31,1,1.3,0,1.4,76,2025-04-21 13:00,,0.2,30.1,53,0,121.53656894,25.29681695,84
麥寮,雲林縣,56,細懸浮微粒,普通,0.7,0.14,,28,24,12,1,2.2,1.1,3,256,2025-04-21 13:00,,0.1,14.5,24,0,120.251825,23.753506,83
關山,臺東縣,45,,良好,1,0.12,34,19,16,11,1,2.7,1,3.5,216,2025-04-21 13:00,,0.1,11.1,17,1,121.161933,23.045083,80
馬公,澎湖縣,39,,良好,0.4,0.13,23,23,18,7,1,3.5,1.7,3,270,2025-04-21 13:00,,0.1,9.6,18,0,119.566158,23.569031,78
金門,金門縣,66,細懸浮微粒,普通,1.3,0.21,20,29,26,14,17,22,5,1.2,207,2025-04-21 13:00,,0.2,18,20,1,118.312256,24.432133,77
馬祖,連江縣,135,細懸浮微粒,對敏感族群不健康,1.1,0.37,86,77,76,40,6,7.6,0.8,1.2,212,2025-04-21 13:00,,0.3,44.4,79,0,119.952724,26.153736,75
埔里,南投縣,66,細懸浮微粒,普通,0.7,0.2,34,17,23,18,2,3.2,1.1,2.5,307,2025-04-21 13:00,,0.2,18,24,0,120.967903,23.968842,72
復興,高雄市,63,細懸浮微粒,普通,0.3,0.2,,12,30,14,7,9.2,2,1.3,270,2025-04-21 13:00,,0.2,16.8,30,0,120.312017,22.608711,71
永和,新北市,62,細懸浮微粒,普通,0.4,0.43,47,21,27,20,13,16.2,2.8,1.5,327,2025-04-21 13:00,,0.8,16.5,23,0,121.516306,25.017,70
竹山,南投縣,78,細懸浮微粒,普通,1.1,0.2,58,23,39,26,3,4,0.4,2.2,259,2025-04-21 13:00,,0.1,22.4,34,0,120.677306,23.756389,69
中壢,桃園市,65,細懸浮微粒,普通,,0.72,26,7,40,23,26,48.9,22.5,1.2,353,2025-04-21 13:00,,1.1,17.5,31,0,121.221667,24.953278,68
三重,新北市,86,細懸浮微粒,普通,0.9,0.85,25,15,34,28,35,75.3,40.1,-,-,2025-04-21 13:00,,1,25.3,33,1,121.493806,25.072611,67
冬山,宜蘭縣,50,,良好,0.7,0.52,38,28,26,10,12,15.5,2.5,0.9,270,2025-04-21 13:00,,0.4,11.3,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,44,,良好,0.3,0.27,50,42,12,13,3,4.5,0.8,2.7,125,2025-04-21 13:00,,0.2,10.8,15,0,121.746394,24.747917,65
陽明,臺北市,45,,良好,0.7,0.3,55,33,19,16,4,5.7,0.7,2.4,350,2025-04-21 13:00,,0.2,11.1,19,0,121.529583,25.182722,64
花蓮,花蓮縣,39,,良好,,0.22,47,34,9,11,1,2.4,0.7,2.3,106,2025-04-21 13:00,,0.2,9.7,17,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.6,0.16,35,26,24,9,1,2,0.4,2.2,138,2025-04-21 13:00,,0.1,8.2,21,0,121.15045,22.755358,62
恆春,屏東縣,52,細懸浮微粒,普通,1.7,0.18,55,36,31,18,2,2.8,0.7,2,250,2025-04-21 13:00,,0.1,13,25,1,120.788928,21.958069,61
潮州,屏東縣,95,細懸浮微粒,普通,1.6,0.3,66,33,47,29,5,6,0.4,4.8,255,2025-04-21 13:00,,0.2,28.4,47,0,120.561175,22.523108,60
屏東,屏東縣,85,細懸浮微粒,普通,1,0.24,65,31,44,25,4,5.1,0.7,1.7,15,2025-04-21 13:00,,0.2,25,46,0,120.488033,22.673081,59
小港,高雄市,67,細懸浮微粒,普通,1,0.15,29,17,25,16,10,14.8,4.6,4.2,265,2025-04-21 13:00,,0.2,18.2,30,0,120.337736,22.565833,58
前鎮,高雄市,57,細懸浮微粒,普通,2,0.16,28,18,24,11,10,14.5,4.1,2.1,344,2025-04-21 13:00,,0.2,14.8,29,1,120.30833356,22.6044507,57
前金,高雄市,63,細懸浮微粒,普通,0.6,0.19,42,22,34,15,5,7,1.3,2.6,241,2025-04-21 13:00,,0.2,17,35,0,120.28676111,22.63390278,56
左營,高雄市,67,細懸浮微粒,普通,,,28,13,,17,,,,3.6,275,2025-04-21 13:00,,0.2,18.2,30,0,120.292917,22.674861,54
楠梓,高雄市,76,細懸浮微粒,普通,0.6,0.17,40,19,49,18,4,5.4,0.8,2.1,294,2025-04-21 13:00,,0.2,21.5,50,0,120.328289,22.733667,53
林園,高雄市,69,細懸浮微粒,普通,0.8,0.14,32,17,29,15,1,3,1.1,4,275,2025-04-21 13:00,,0.2,19,37,1,120.41175,22.4795,52
大寮,高雄市,88,細懸浮微粒,普通,1.1,0.27,63,29,53,23,8,9.6,1.1,3.2,285,2025-04-21 13:00,,0.2,25.9,49,0,120.425311,22.56413611,51
鳳山,高雄市,87,細懸浮微粒,普通,1.3,0.43,53,25,41,26,10,11.4,1.1,1.3,291,2025-04-21 13:00,,0.4,25.7,41,1,120.357422,22.628126,50
仁武,高雄市,67,細懸浮微粒,普通,0.7,0.18,,18,,15,,,,3.6,275,2025-04-21 13:00,,0.3,18.2,35,0,120.332631,22.689056,49
橋頭,高雄市,78,細懸浮微粒,普通,1.4,0.14,39,21,30,18,5,6.2,1,3.4,259,2025-04-21 13:00,,0.2,22.4,33,1,120.305689,22.757506,48
美濃,高雄市,64,細懸浮微粒,普通,1,0.22,52,26,28,20,2,2.9,0.8,1.5,250,2025-04-21 13:00,,0.2,17.3,26,0,120.530542,22.883583,47
臺南,臺南市,62,細懸浮微粒,普通,0.4,0.18,36,24,28,14,4,6,1.5,3.4,215,2025-04-21 13:00,,0.2,16.5,29,0,120.21947897,22.98928311,46
安南,臺南市,61,細懸浮微粒,普通,0.9,0.18,38,20,25,14,2,3.7,1,4,223,2025-04-21 13:00,,0.2,16.3,28,0,120.2175,23.048197,45
善化,臺南市,82,細懸浮微粒,普通,0.6,0.19,45,19,38,23,8,10.4,2.3,2.6,318,2025-04-21 13:00,,0.1,23.8,34,0,120.29740529,23.11337642,44
新營,臺南市,72,細懸浮微粒,普通,0.2,0.19,40,21,28,17,4,4.6,0.4,2.1,272,2025-04-21 13:00,,0.2,20,30,0,120.31725,23.305633,43
嘉義,嘉義市,72,細懸浮微粒,普通,1.7,0.21,51,23,48,21,3,4.1,0.4,2.8,242,2025-04-21 13:00,,0.2,20.2,35,1,120.44125148,23.46477865,42
臺西,雲林縣,54,細懸浮微粒,普通,0.7,0.13,,29,25,14,1,1.7,0.5,3.6,236,2025-04-21 13:00,,0.1,13.6,22,0,120.19933333,23.702175,41
朴子,嘉義縣,71,細懸浮微粒,普通,0.6,0.12,36,23,25,13,3,3.6,0.6,2.5,256,2025-04-21 13:00,,0.1,19.7,29,1,120.2478,23.46538,40
新港,嘉義縣,68,細懸浮微粒,普通,1.4,0.17,45,26,31,14,2,3.7,0.9,2.2,250,2025-04-21 13:00,,0.1,18.7,31,1,120.345531,23.554839,39
崙背,雲林縣,75,細懸浮微粒,普通,,,38,20,6,,,,,2.3,191,2025-04-21 13:00,,0.1,21.2,32,0,120.348742,23.757547,38
斗六,雲林縣,89,細懸浮微粒,普通,1.9,0.25,58,25,37,24,4,5.6,1.3,2.5,267,2025-04-21 13:00,,0.2,26.4,40,1,120.544994,23.711853,37
南投,南投縣,78,細懸浮微粒,普通,1,0.2,49,20,38,23,4,5.3,1.1,2.5,238,2025-04-21 13:00,,0.2,22.3,34,0,120.685306,23.913,36
二林,彰化縣,75,細懸浮微粒,普通,3.2,0.16,41,19,34,19,2,3.4,0.5,3.3,274,2025-04-21 13:00,,0.2,21.2,39,2,120.409653,23.925175,35
線西,彰化縣,86,細懸浮微粒,普通,2.2,0.16,47,23,39,25,4,6,1.5,4,248,2025-04-21 13:00,,0.2,25.3,38,1,120.469061,24.131672,34
彰化,彰化縣,80,細懸浮微粒,普通,1,0.15,43,20,28,24,3,4.5,1,2.1,282,2025-04-21 13:00,,0.2,23.2,31,1,120.541519,24.066,33
西屯,臺中市,85,細懸浮微粒,普通,1.6,0.19,51,19,45,22,5,6.5,0.8,3.7,202,2025-04-21 13:00,,0.2,24.8,43,1,120.616917,24.162197,32
忠明,臺中市,84,細懸浮微粒,普通,1.1,0.29,44,14,40,,8,11.3,2.9,2.6,247,2025-04-21 13:00,,0.3,24.5,55,1,120.641092,24.151958,31
大里,臺中市,92,細懸浮微粒,普通,0.7,0.25,49,19,42,32,6,6.3,0,2.2,257,2025-04-21 13:00,,0.3,27.4,35,0,120.67844444,24.09961111,30
沙鹿,臺中市,81,細懸浮微粒,普通,1.8,0.21,45,22,56,31,6,7.3,1.3,3.7,247,2025-04-21 13:00,,0.2,23.5,42,0,120.568794,24.225628,29
豐原,臺中市,85,細懸浮微粒,普通,0.9,0.27,58,24,40,28,4,6,1.4,4.8,212,2025-04-21 13:00,,0.3,25.1,35,0,120.74252414,24.25699731,28
三義,苗栗縣,78,細懸浮微粒,普通,1.3,0.25,61,22,41,30,4,5.8,1.7,4.1,207,2025-04-21 13:00,,0.2,22.2,33,1,120.75956754,24.38248443,27
苗栗,苗栗縣,72,細懸浮微粒,普通,1.6,0.29,57,17,38,30,9,11.3,2,2.6,294,2025-04-21 13:00,,0.3,20.3,27,1,120.82011468,24.56499183,26
頭份,苗栗縣,60,細懸浮微粒,普通,,,45,14,,21,,,,3.9,273,2025-04-21 13:00,,0.3,15.9,26,1,120.89869286,24.69690679,25
新竹,新竹市,61,細懸浮微粒,普通,2.2,0.29,47,14,34,22,8,10.1,1.7,2.7,262,2025-04-21 13:00,,0.3,16.3,25,1,120.97236752,24.8056356,24
竹東,新竹縣,51,細懸浮微粒,普通,0.5,0.25,45,14,32,22,4,5.3,0.4,2.6,254,2025-04-21 13:00,,0.2,12.6,26,0,121.08895493,24.74091408,23
湖口,新竹縣,63,細懸浮微粒,普通,1.2,0.24,51,14,35,28,4,6.1,1.1,3.7,267,2025-04-21 13:00,,0.3,17,28,0,121.03886894,24.90009696,22
